ID,Term,Language_Type,Major1,Major2,Major3,Minors
362229,1199,C,CSS,FRST,,
362375,1199,C,CEAS,GOVT,,
362313,1199,C,ENVS,PSYC,,
364359,1199,C,REES,,,HIST-MN
358723,1199,C,RELI,,,FILM-MN
362463,1199,C,CEAS,GOVT,,
362572,1199,D,GOVT,,,CEAS-MN
360214,1199,D,CSS,,,
358669,1199,D,ANTH,FILM,,
358826,1199,D,PSYC,SISP,,
360233,1199,D,SOC,,,
362234,1199,D,ARHA,,,
362451,1199,D,PSYC,SISP,,
358727,1199,D,GOVT,,,
360029,1199,D,GOVT,,,HIST-MN
360094,1199,D,ARHA,ITST,,
360222,1199,D,RMST,SOC,,
362098,1199,D,ENGL,ITST,,EDST-MN
362105,1199,D,CSS,ITST,,
362172,1199,D,CSS,,,
362225,1199,D,CSS,ITST,,
362321,1199,D,ARHA,,,
362382,1199,D,ITST,PSYC,,
362592,1199,D,FILM,ITST,,
375085,1199,D,,,,
375087,1199,D,,,,
375088,1199,D,,,,
358702,1199,D,ANTH,HISP,,
362244,1199,D,ENGL,HISP,,
355401,1199,D,GOVT,,,
358596,1199,D,ARST,,,
358783,1199,D,ENGL,,,FILM-MN
358593,1199,D,GOVT,,,FILM-MN
358608,1199,D,ANTH,HISP,,
358609,1199,D,HIST,,,
358630,1199,D,PSYC,,,
358638,1199,D,ENVS,PSYC,,EDST-MN
358649,1199,D,HISP,SOC,,
358658,1199,D,PSYC,RMST,,
358675,1199,D,HISP,NS&B,,
358792,1199,D,GOVT,HISP,,
358816,1199,D,PSYC,,,
360241,1199,D,PSYC,,,
360248,1199,D,ECON,FILM,,
362237,1199,D,AMST,,,EDST-MN
362314,1199,D,ECON,RMST,,
362344,1199,D,BIOL,NS&B,,
362352,1199,D,GOVT,HISP,,
362353,1199,D,HISP,HIST,,
362379,1199,D,BIOL,HISP,,
362406,1199,D,HISP,PSYC,,EDST-MN
362509,1199,D,HISP,PSYC,,ECON-MN
898932,1199,D,FGSS,HISP,,
356583,1199,D,AFAM,,,FRST-MN
358690,1199,D,ECON,FRST,,
358818,1199,D,ENGL,FILM,,
358831,1199,D,GOVT,,,HIST-MN
358832,1199,D,FRST,NS&B,,
358874,1199,D,FRST,NS&B,,
360011,1199,D,FRST,SISP,,
360024,1199,D,ARHA,ENGL,,
360039,1199,D,NS&B,PSYC,,
360086,1199,D,FRST,SOC,,
362169,1199,D,MB&B,SISP,,
362361,1199,D,CSS,FRST,,DATA-MN
362368,1199,D,FRST,HIST,,ECON-MN
362397,1199,D,FILM,FRST,,
362443,1199,D,GOVT,,,HIST-MN
362447,1199,D,RMST,,,
362454,1199,D,FRST,GOVT,,
362487,1199,D,ECON,GOVT,,
362502,1199,D,ENVS,GOVT,,
362573,1199,D,FRST,GOVT,,
363317,1199,D,FRST,GOVT,,
358775,1201,A,NS&B,,,
358801,1201,A,ENVS,GOVT,PHIL,
360246,1201,A,MUSC,,,
355358,1201,A,FILM,PHYS,,
335981,1201,A,PHYS,,,
358754,1201,A,AFAM,SOC,,
360236,1201,A,GOVT,SOC,,
362342,1201,A,ENGL,,,
362349,1201,A,MATH,SOC,,
334737,1201,A,BIOL,MATH,NS&B,
335367,1201,A,PHYS,,,
335795,1201,A,MATH,,,
335806,1201,A,PHYS,,,
335848,1201,A,COMP,,,
339474,1201,A,MATH,,,
355313,1201,A,ECON,MATH,,CEAS-MN
356428,1201,A,COMP,ECON,MATH,
356441,1201,A,MATH,,,CEAS-MN
358679,1201,A,ANTH,,,
360101,1201,A,COMP,GOVT,MATH,
360051,1201,A,BIOL,,,
360231,1201,A,GOVT,,,
365266,1201,A,ENGL,,,IDEA-MN
358806,1201,A,ECON,,,
362083,1201,A,COMP,,,CEAS-MN
362158,1201,A,COMP,MATH,,
362276,1201,A,E&ES,ENVS,,
362317,1201,A,BIOL,,,
360021,1201,A,ANTH,EDST,,
339522,1201,A,ARST,PSYC,,
360004,1201,A,ENVS,GOVT,,
358737,1201,A,BIOL,ENVS,,
362415,1201,A,BIOL,ENVS,,DANC-MN
362251,1201,A,CHEM,GOVT,,
358624,1201,A,COMP,,,
360027,1201,A,ECON,GOVT,,
362152,1201,A,GOVT,RELI,,
358714,1201,A,PSYC,THEA,,
358764,1201,A,PSYC,,,DANC-MN
358842,1201,A,ARST,ENGL,,
362351,1201,A,AMST,,,
362387,1201,A,PSYC,,,EDST-MN
362682,1201,A,ECON,,,
358795,1201,A,ECON,NS&B,,
368892,1201,A,CEAS,COL,,
358772,1201,A,THEA,,,FILM-MN
362166,1201,A,FILM,PSYC,,
365477,1201,A,FILM,GOVT,,
367596,1201,A,ENGL,,,
358854,1201,A,ECON,FILM,,
362106,1201,A,GOVT,HIST,,
362576,1201,A,ECON,,,DATA-MN
360240,1201,A,CEAS,SOC,,
362235,1201,A,PSYC,,,CEAS-MN
362467,1201,A,CEAS,,,ECON-MN
360013,1201,A,PSYC,,,"CEAS-MN,FILM-MN"
362087,1201,A,EDST,PSYC,SISP,
362337,1201,A,ENVS,GOVT,,
362165,1201,A,ENGL,HISP,,
358646,1201,A,AFAM,,,
362084,1201,A,ECON,,,
368912,1201,B,,,,
358636,1201,B,PSYC,,,
360065,1201,B,PSYC,,,
360228,1201,B,ANTH,ENGL,,
367624,1201,B,SOC,,,
368298,1201,B,ANTH,SOC,,
358696,1201,B,PHIL,,,
